,ID,Job,Jobs_Group,Profile,Remote,Company,State,ExpenditurePerCapita,Low_Salary,High_Salary,Mean_Salary,Education_level,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Skills8,Skills9,Skills10,Skills11,Skills12,Skills13,Skills14,Skills15,Skills16,Skills17,Skills18,Skills19,Skills20,Skills21,Skills22
41792,job_80d362ed0581a8d4,Data Analyst,Data Analyst,Junior,On_Site,MJHS,New York,46909,77099,92519,84809,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
41794,job_5876ead6e9efe445,Data Analyst,Data Analyst,Junior,On_Site,Kelsey-Seybold Clinic,Texas,43376,70200,86736,78468,Bachelor,Excel,Access,Word,Office,SQL,Bachelor,PowerPoint,R,VBA,English,SSRS,,,,,,,,,,,
41803,job_366ed9a25f429710,Data Analyst,Data Analyst,Junior,Remote,General Dynamics Information Technology,Indiana,43717,76000,114000,95000,Bachelor,Jira,Dynamics 365,Agile,Bachelor,,,,,,,,,,,,,,,,,,
41812,job_3fcd3ff7dd3f9cbd,Data Analyst,Data Analyst,Junior,Remote,Stanford University,California,46181,52000,93000,72500,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
41815,job_53702d193f88527a,Data Analyst,Data Analyst,Junior,On_Site,Haleon,New Jersey,47607,85000,110000,97500,MBA,MBA,Master,SAP,Bachelor,,,,,,,,,,,,,,,,,,
41819,job_0872a609a5cce9fd,Data Analyst,Data Analyst,Junior,On_Site,S&P Global,Colorado,50016,59800,104774,82287,Master,SQL,Python,Databricks,Agile,Master,,,,,,,,,,,,,,,,,
41826,job_d37c0009e4c9c50c,All-Source Acquisition Intelligence Analyst,Data Analyst,Junior,Remote,Booz Allen Hamilton,Ohio,45013,58300,133000,95650,Bachelor,SQL,Bachelor,,,,,,,,,,,,,,,,,,,,
41827,job_586c1211892bc028,Data Analyst,Data Analyst,Junior,Remote,Wilbur-Ellis Company,California,46181,68800,85900,77350,Bachelor,Excel,SQL,Bachelor,Python,R,,,,,,,,,,,,,,,,,
41831,job_eea8e56a2dddf476,Data Analyst,Data Analyst,Junior,On_Site,"Akahi Associates, LLC",Colorado,50016,80000,85000,82500,Master,Access,Office,Bachelor,Master,CFA,,,,,,,,,,,,,,,,,
41833,job_68fd8df3b38f96f5,Data Analyst,Data Analyst,Junior,Hybrid,Texas Comptroller of Public Accounts,Texas,43376,50004,72000,61002,Not specified,.NET,Office,,,,,,,,,,,,,,,,,,,,
41836,job_fa8523c4b52d1567,Medicaid Data Advisory Services Analyst,Data Analyst,Junior,Remote,Mathematica Policy Research,Massachusetts,50585,70000,95000,82500,Master,Master,Bachelor,,,,,,,,,,,,,,,,,,,,
41841,job_955dfa1714f9e21b,Data Analyst,Data Analyst,Junior,Remote,Sutter Health,California,46181,86995.2,130492.8,108744,Bachelor,Tableau,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
41844,job_5870af970b595f31,Data Analyst,Data Analyst,Junior,On_Site,Columbia University,New York,46909,78000,88000,83000,Bachelor,Python,R,Office,Bachelor,,,,,,,,,,,,,,,,,,
41848,job_318ff163a3175c35,Data Analyst,Data Analyst,Junior,On_Site,Texas A&M University,Texas,43376,46000,46000,46000,PHD,PhD,,,,,,,,,,,,,,,,,,,,,
41851,job_bd9aaa01282b6cc1,Data Analyst (Fundraising & Donor Database Specialist - Blackbaud non-profit applications) - Donor Services,Data Analyst,Junior,On_Site,Rady Children's Hospital-San Diego,California,46181,51667.2,71042.4,61354.8,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
41856,job_4fb7e286110648ec,Data Analyst,Data Analyst,Junior,Remote,GS1 Consulting,Indiana,43717,55200,61750.4,58475.2,Bachelor,Excel,Tableau,Bachelor,,,,,,,,,,,,,,,,,,,
41862,job_4500c6ec39572987,Data Analyst,Data Analyst,Junior,On_Site,Govcio LLC,Virginia,43921,71150,113850,92500,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
41869,job_f395597fd16723ec,Data Analyst,Data Analyst,Junior,On_Site,Govcio LLC,New York,46909,61850,98950,80400,Bachelor,Power BI,Bachelor,,,,,,,,,,,,,,,,,,,,
41874,job_26c389f1fd1181cd,Data Analyst,Data Analyst,Junior,On_Site,Lourdes Health,Washington,44377,39394.4,50416,44905.2,Not specified,English,CSS,Spanish,,,,,,,,,,,,,,,,,,,
41882,job_c37b8c5932708e49,Data Analyst,Data Analyst,Junior,Remote,Galaxy Technologies,Colorado,50016,79000,90000,84500,Not specified,Excel,Java,VBA,SQL,,,,,,,,,,,,,,,,,,
41885,job_16bf802a567ad042,Data Analyst,Data Analyst,Junior,Remote,The Surplus Line Association of California,California,46181,47196,47196,47196,Not specified,,,,,,,,,,,,,,,,,,,,,,
41888,job_5796cba4a07b2ea4,Data Analyst,Data Analyst,Junior,Remote,Swanktek,Indiana,43717,33340.8,60996,47168.4,Bachelor,Excel,Tableau,SQL,Bachelor,,,,,,,,,,,,,,,,,,
41893,job_d54ab7016b15ee44,Data Analyst,Data Analyst,Junior,On_Site,ApexHire,Arkansas,42039,50000,60000,55000,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
41895,job_ba67b8b5431b1677,Data Analyst,Data Analyst,Junior,Remote,US Naval Reserve Force,Virginia,43921,83854,109011,96432.5,Bachelor,Excel,Tableau,Office,SQL,Power BI,Java,Bachelor,Python,R,Qlik,,,,,,,,,,,,
41909,job_c3066930f4460ceb,Data Analyst,Data Analyst,Junior,On_Site,OFFSHORE HCL GLOBAL SYSTEMS INDIA PRIVATE LIMITED,Indiana,43717,55200,60720,57960,Not specified,Tableau,,,,,,,,,,,,,,,,,,,,,
41910,job_ce0df51a8c1da043,Data Analyst,Data Analyst,Junior,On_Site,"Swivel Payment Solutions, LLC",New York,46909,62063,65095,63579,Master,Tableau,SQL,Power BI,Python,Master,,,,,,,,,,,,,,,,,
41914,job_5ed5c7246220c148,Data Analyst,Statistician/Mathemathics,Junior,On_Site,Rangam Infotech Pvt Ltd,Illinois,46247,33120,36800,34960,Not specified,Excel,VBA,,,,,,,,,,,,,,,,,,,,
41915,job_e10886d6245d9d84,Data Analyst,Data Analyst,Junior,Remote,GS1 Consulting,Indiana,43717,55200,61750.4,58475.2,Bachelor,Excel,Tableau,Bachelor,,,,,,,,,,,,,,,,,,,
41940,job_d299ea26435b02ed,Data Analyst,Data Analyst,Junior,On_Site,Essex Mortgage,Florida,46837,31280,38640,34960,Not specified,Excel,PowerPoint,Word,Office,,,,,,,,,,,,,,,,,,
41943,job_0f5050c941c6e7aa,Data Analyst,Data Analyst,Junior,On_Site,Bank Street College of Education,New York,46909,70000,85000,77500,Not specified,Excel,PowerPoint,,,,,,,,,,,,,,,,,,,,
41945,job_65dc1b05ba51e9c6,Data Analyst,Data Analyst,Junior,On_Site,Dealer Synergy,New Jersey,47607,29440,33120,31280,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
41946,job_1a982963415af1dc,Data Analyst,Data Analyst,Junior,On_Site,USA Sport Group,New Jersey,47607,33120,42320,37720,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
41950,job_9cc3179f060b3dd2,Data Analyst,Data Analyst,Junior,On_Site,"Centro para la ReconstrucciÃ³n del HÃ¡bitat, Inc.",Puerto Rico,#N/A,72800,72800,72800,Bachelor,Excel,Bachelor,,,,,,,,,,,,,,,,,,,,
41958,job_75081ccc37d5807d,Data Modeling and Visualization Analyst,Data Analyst,Junior,Remote,"Seventh Sense Consulting, LLC",Virginia,43921,92185,111018,101601.5,Master,Office,SQL,Bachelor,Python,R,Databricks,Qlik,Master,,,,,,,,,,,,,,
41970,job_a028e9392936c042,Data Analyst,Data Analyst,Junior,Remote,Kpler,New York,46909,98862,98862,98862,Master,SQL,Bachelor,Python,HTML,Master,,,,,,,,,,,,,,,,,
41974,job_e0c1a9d60ebbfc1d,Data Integrity Analyst,Data Analyst,Junior,On_Site,Premier Inc.,New York,46909,43000,79000,61000,Bachelor,Access,ERP,Bachelor,,,,,,,,,,,,,,,,,,,
41980,job_a17e025ece961fc8,Data Analyst,Data Analyst,Junior,Remote,Groundswell,Virginia,43921,70876,101738,86307,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
41983,job_8eff260bf524e67e,Data Analyst,Data Analyst,Junior,Remote,Massachusetts Bay Transportation Authority,Massachusetts,50585,89315,89315,89315,Bachelor,Tableau,SQL,Bachelor,Python,R,English,,,,,,,,,,,,,,,,
41986,job_35be63e5938eeef7,Data Analyst,Data Analyst,Junior,On_Site,"City of Augusta, GA",Georgia,42629,45738,52599,49168.5,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
41994,job_dd6ee16c27b19087,Data Analyst,Data Analyst,Junior,On_Site,Albuquerque Bernalillo County Water Utility...,New Mexico,41047,62596.8,74814.4,68705.6,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
42014,job_1038be59cf73737f,Data Analyst,Data Analyst,Junior,On_Site,Samaritan Health Services,Oregon,42179,49735.2,74593.6,62164.4,Bachelor,Excel,Word,Office,Bachelor,PowerPoint,,,,,,,,,,,,,,,,,
42017,job_f7680275bfc6df82,eCornell Executive Education Data Entry Analyst-(Remote),Data Analyst,Junior,Remote,Cornell University,New York,46909,34960,38640,36800,Not specified,Salesforce,Office,,,,,,,,,,,,,,,,,,,,
42028,job_b8cc79f19d8b35f5,Data Analyst,Data Analyst,Junior,On_Site,Chicago Public Schools,Illinois,46247,58000,76000,67000,Bachelor,Excel,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
42034,job_ce57cd40271b3a01,Data Analyst,Data Analyst,Junior,Remote,McMaster-Carr,Illinois,46247,90000,100000,95000,Master,NumPy,Office,SQL,JavaScript,Bachelor,Python,HTML,Master,,,,,,,,,,,,,,
42053,job_06dd8e86edf60699,Data Analyst,Data Analyst,Junior,On_Site,Stem Xpert,Michigan,45641,92000,92000,92000,Bachelor,Access,Office,SQL,Bachelor,Oracle,,,,,,,,,,,,,,,,,
42057,job_218f010b16b4bc6b,Data Analyst,Data Analyst,Junior,On_Site,"Advanced Stimulation Technologies, Inc",Texas,43376,60000,80000,70000,Not specified,Excel,Word,Office,PowerPoint,English,,,,,,,,,,,,,,,,,
42058,job_cd27552efd755695,Data Analyst,Data Analyst,Junior,Remote,Catalytic Health Partners,Arizona,43239,50000,50000,50000,Bachelor,Tableau,MongoDB,Bachelor,,,,,,,,,,,,,,,,,,,
42078,job_15b1bc8e6f926c32,Data Analyst,Data Analyst,Junior,Remote,Upen Group Inc,Texas,43376,40000,63726,51863,Not specified,Python,SQL,,,,,,,,,,,,,,,,,,,,
42089,job_050bb7c001388a39,Data Analyst,Data Analyst,Junior,Hybrid,Citi,Florida,46837,40560,145580,93070,Bachelor,Excel,Access,Word,Office,Bachelor,PowerPoint,Spanish,,,,,,,,,,,,,,,
42095,job_362a5f962d945456,Data Analyst,Data Analyst,Junior,Hybrid,Johns Hopkins University,Maryland,43229,46560,46560,46560,Master,Master,German,Office,Bachelor,,,,,,,,,,,,,,,,,,
42097,job_1e0081bc413d13fb,Data Analyst,Data Analyst,Junior,On_Site,Northrop Grumman,Virginia,43921,58000,87000,72500,Bachelor,Excel,PowerPoint,Office,Bachelor,,,,,,,,,,,,,,,,,,
42125,job_75ce95fe20f1732a,Data Analyst,Data Analyst,Junior,On_Site,Grand Valley State University,Michigan,45641,46500,60000,53250,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
42133,job_d0288626db373bfa,Data Analyst,Data Analyst,Junior,Remote,University of New Mexico,New Mexico,41047,33598.4,45650.4,39624.4,Bachelor,HTML,Office,SQL,Bachelor,,,,,,,,,,,,,,,,,,
42151,job_72ebecf34509d869,Data Analyst,Data Analyst,Junior,On_Site,Intone Networks,Texas,43376,48465,110203,79334,Not specified,SQL,,,,,,,,,,,,,,,,,,,,,
42154,job_03d2826b8b6a7a7e,Data Systems Analyst,Data Analyst,Junior,On_Site,Suzor IT,Massachusetts,50585,60000,60000,60000,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
42157,job_a20f7a119a42cfad,Data Analyst,Data Analyst,Junior,On_Site,Jafar and Sons,New York,46909,90000,125000,107500,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
42160,job_bbd0732fcb297d74,Data Analyst,Data Analyst,Junior,On_Site,Live Building Systems,New York,46909,45000,50000,47500,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
42162,job_11d1473ecb880e75,Data Analyst,Data Analyst,Junior,On_Site,Carbon Robotics,Washington,44377,45000,60000,52500,Not specified,Deep Learning,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,
42165,job_9b551fd1d876f33d,Data Analyst,Data Analyst,Junior,On_Site,HSK IT Solutions India Pvt. Ltd.,Indiana,43717,55200,71760,63480,Master,R,SQL,Master,,,,,,,,,,,,,,,,,,,
42168,job_e96dc5307a922880,Data Analyst,Data Analyst,Junior,Remote,Arkos Health,North Dakota,51157,68000,68000,68000,Master,Excel,Salesforce,Tableau,Office,SQL,Bachelor,Python,R,Master,,,,,,,,,,,,,
42173,job_be62f28f6d80debd,Data Analyst,Data Analyst,Junior,Remote,Arjo Inc.,Illinois,46247,65000,80000,72500,Master,Excel,Master,SAP,Bachelor,,,,,,,,,,,,,,,,,,
42175,job_f4f4c9c7ba864217,Data Analyst,Data Analyst,Junior,On_Site,Quality Improvement & Informatics - The Corvallis...,Oregon,42179,35788,44712,40250,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
42176,job_7dc468eff193889e,Data Analyst,Data Analyst,Junior,On_Site,Catholic Charities,Connecticut,48924,45000,55000,50000,Bachelor,Excel,Access,Office,Bachelor,,,,,,,,,,,,,,,,,,
42192,job_d56c3e40917b135b,Board Certified Behavior Analyst - Bilingual in Spanish,Data Analyst,Junior,On_Site,Nexus Therapies LLC,California,46181,65000,75000,70000,Master,Spanish,Master,,,,,,,,,,,,,,,,,,,,
42200,job_33e08f20070aed73,Data Scientist,Data Scientist,Junior,On_Site,University of Texas at Austin,Texas,43376,68000,68000,68000,PHD,Matlab,Python,Spanish,PhD,English,,,,,,,,,,,,,,,,,
42209,job_dc0213c570169f79,"Associate Analyst, Customer Data (REMOTE)",Data Analyst,Junior,Remote,Abercrombie and Fitch Co.,Ohio,45013,78000,80000,79000,Bachelor,Excel,Access,Office,SQL,Power BI,Bachelor,,,,,,,,,,,,,,,,
42231,job_cedd27201be15351,Data Analyst,Data Analyst,Junior,On_Site,Atlantic Digital,Florida,46837,75000,95000,85000,Not specified,React,C++,JavaScript,SQL,Python,R,,,,,,,,,,,,,,,,
42241,job_8c71aa1d2cc5d828,Data Analyst,Data Analyst,Junior,On_Site,Thompson Pipe Group-Dallas,Texas,43376,75000,75000,75000,Master,Excel,Tableau,Bachelor,Python,VBA,ERP,Master,,,,,,,,,,,,,,,
42265,job_9b5903ecab0ef6a6,Statistical Analyst #P0088,Statistician/Mathemathics,Junior,On_Site,Department of Social Services,Virginia,43921,58880,58880,58880,Bachelor,Excel,Word,SQL,Bachelor,PowerPoint,,,,,,,,,,,,,,,,,
42273,job_1e29ad6f7af4c132,Data Analyst,Data Analyst,Junior,Hybrid,The Cincinnati Insurance Companies,Ohio,45013,62000,83000,72500,Not specified,Excel,PowerPoint,Word,,,,,,,,,,,,,,,,,,,
42306,job_7742ad657fda2230,Epic Configuration Analyst - Epic Resolute Professional Billing,Data Analyst,Junior,On_Site,Presbyterian Healthcare Services,New Mexico,41047,41289.6,41289.6,41289.6,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
42312,job_bbd31ed3668b31ea,Data Analyst,Data Analyst,Junior,Remote,California Department of Finance,California,46181,48144,74568,61356,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
42320,job_2ac302d278ba622c,Data Analyst,Data Analyst,Junior,On_Site,Atlantis IT Group,New York,46909,95000,95000,95000,Not specified,Python,Java,R,Machine Learning,,,,,,,,,,,,,,,,,,
42321,job_f06ac8ff1f8d6844,Data Analyst,Data Analyst,Junior,On_Site,Town and Country Event Rentals,California,46181,80000,120000,100000,Bachelor,Office,SQL,Power BI,Bachelor,Python,,,,,,,,,,,,,,,,,
42326,job_9bafbc9334749610,Data Analyst,Data Analyst,Junior,Remote,Veteran Affairs,Washington,44377,76860,104406,90633,Master,SQL,Power BI,Bachelor,Python,R,VBA,C#,Master,,,,,,,,,,,,,,
42327,job_0463c06246c26b6b,Data Analyst,Data Analyst,Junior,Remote,Unified Fire Authority,Utah,43957,74176,109631,91903.5,Not specified,Tableau,SQL,Power BI,Python,R,SSRS,,,,,,,,,,,,,,,,
42338,job_ece8b9ff3f29e4e8,Data Analyst,Data Analyst,Junior,On_Site,TSN Partners,Washington,44377,64400,73600,69000,Not specified,Tableau,,,,,,,,,,,,,,,,,,,,,
42343,job_2b36648e1e818cc3,Data Processor/Analyst - Auto I.D.,Data Analyst,Junior,On_Site,Experian,Tennessee,43446,45000,45000,45000,Not specified,,,,,,,,,,,,,,,,,,,,,,
42349,job_0ed1c31b095f97be,Data Analyst,Data Analyst,Junior,Remote,GLOBALFORCE-US.COM,Louisiana,42986,50416,50416,50416,Not specified,Excel,Access,English,Office,,,,,,,,,,,,,,,,,,
42356,job_d887f8c18dc7c0be,Protective Intelligence Analyst,Data Analyst,Junior,Remote,Control Risks,California,46181,80000,90000,85000,Bachelor,Excel,PowerPoint,Word,Bachelor,,,,,,,,,,,,,,,,,,
42370,job_fc054c3fb847255d,Data Analyst,Data Analyst,Junior,On_Site,DSI Systems,Texas,43376,60000,70000,65000,Bachelor,Excel,Tableau,SQL,Bachelor,,,,,,,,,,,,,,,,,,
42372,job_aead1920368326cd,Sports Data Entry Analyst (Part-Time) - AZ,Data Analyst,Junior,On_Site,SportsDataIO,Arizona,43239,27600,27600,27600,Not specified,,,,,,,,,,,,,,,,,,,,,,
42384,job_c2c7245c946cc9d9,Mid-Level Functional Analyst - SAP Master Data Governance,Data Analyst,Junior,Hybrid,BOEING,Texas,43376,87550,126500,107025,Master,Master,Agile,SAP,Bachelor,,,,,,,,,,,,,,,,,,
42385,job_b900f0c80bae36dc,"Analyst, Workforce Data Systems and Compliance",Data Analyst,Junior,On_Site,NYC HOUSING PRESERVATION & DVLPMNT,New York,46909,59116,91768,75442,Not specified,Excel,,,,,,,,,,,,,,,,,,,,,
42391,job_3c4ca10641c11a35,Data Analyst,Data Analyst,Junior,On_Site,Washington University in St Louis,Missouri,45976,64700,110500,87600,Bachelor,Excel,Access,Word,SQL,Hyperion,Bachelor,VBA,,,,,,,,,,,,,,,
42398,job_f054d0196c44544f,Data Analyst,Data Analyst,Junior,On_Site,Glacier Bancorp,Wyoming,49136,42890.4,42890.4,42890.4,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
42403,job_55a63c6d194a13d6,Data Analyst,Data Analyst,Junior,Remote,West Chester University of Pennsylvania,Pennsylvania,48097,39531,39531,39531,Not specified,Word,Office,,,,,,,,,,,,,,,,,,,,
42411,job_4f667dbf8ddda8d8,Data Analyst,Data Analyst,Junior,On_Site,Palm Beach Accountable Care Organization,Florida,46837,60000,65000,62500,MBA,Excel,MBA,Word,Office,SQL,Bachelor,PowerPoint,Master,,,,,,,,,,,,,,
42414,job_cbe2c43747367a02,Data Analyst,Data Analyst,Junior,On_Site,TechProjects,Texas,43376,73600,73600,73600,Not specified,Oracle,SSIS,SSRS,SQL,,,,,,,,,,,,,,,,,,
42415,job_01cc5b0049a89d99,Data Analyst,Data Analyst,Junior,Remote,Healthy Community Initiative,Minnesota,46604,65000,70000,67500,Bachelor,Tableau,Salesforce,SQL,Bachelor,,,,,,,,,,,,,,,,,,
42417,job_a6ee7a6604ef0a71,Energy Production Analyst/Data Processing Clerk,Data Analyst,Junior,On_Site,Steptoe & Johnson PLLC,West Virginia,42931,32000,48000,40000,Not specified,,,,,,,,,,,,,,,,,,,,,,
42426,job_463abe5598016986,Analytics Analyst I,Data Analyst,Junior,On_Site,Horizon Blue Cross Blue Shield of New Jersey,New Jersey,47607,75300,100800,88050,Bachelor,Excel,Office,Bachelor,,,,,,,,,,,,,,,,,,,
42427,job_0186fab77411edb4,Analytics Analyst II,Data Analyst,Junior,On_Site,Horizon Blue Cross Blue Shield of New Jersey,New Jersey,47607,83000,113295,98147.5,Bachelor,Excel,Tableau,Office,Bachelor,,,,,,,,,,,,,,,,,,
42472,job_0b5a013f9a61e10e,Data Analyst,Data Analyst,Junior,Remote,Acrisure,California,46181,62000,150000,106000,Bachelor,Excel,Access,Tableau,Artificial Intelligence,Office,Word,Bachelor,PowerPoint,,,,,,,,,,,,,,
42486,job_40d529c2fb6504d1,Data Analyst,Data Analyst,Junior,On_Site,Dallas County Community College District,Texas,43376,65000,65000,65000,Bachelor,Excel,SQL,Power BI,Bachelor,Python,DAX,R,Agile,ERP,,,,,,,,,,,,,
42505,job_75bff41fe8f6dc72,Data Analyst,Data Analyst,Junior,Hybrid,Boston Planning and Development Agency,Massachusetts,50585,60500,69575,65037.5,Bachelor,Excel,PowerPoint,Office,Bachelor,,,,,,,,,,,,,,,,,,
42508,job_70a99d26f551356f,Data Analyst,Data Analyst,Junior,On_Site,AssuredPartners,Maryland,43229,50000,55000,52500,Not specified,PowerPoint,Office,,,,,,,,,,,,,,,,,,,,
42517,job_5ab9555710134263,Data Analyst,Data Analyst,Junior,Hybrid,Petrosoft LLC,Pennsylvania,48097,61916,61916,61916,Master,Excel,CPA,Tableau,SQL,Power BI,Bachelor,Python,R,Adobe Analytics,Master,,,,,,,,,,,,
42519,job_2e0554114154bced,Data Analyst,Data Analyst,Junior,Remote,Transition Projects,Oregon,42179,65000,70000,67500,Bachelor,Excel,Tableau,SQL,JavaScript,Bachelor,Python,R,SAP,Oracle,Qlik,,,,,,,,,,,,
42521,job_ec24c751bcc618db,Data Analyst,Data Analyst,Junior,On_Site,Susannah Wesley Community Center,Hawaii,42493,44000,48000,46000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
42532,job_c32d5cc03bfbb6e7,Data Analyst,Data Analyst,Junior,Remote,The Cigna Group,Connecticut,48924,47840,71760,59800,Bachelor,Excel,Access,Word,Office,SQL,Bachelor,,,,,,,,,,,,,,,,
42536,job_61391df334f020bf,Data Analyst,Data Analyst,Junior,On_Site,Nuvance Health,Connecticut,48924,60057.6,119618.4,89838,Bachelor,Excel,Tableau,SQL,Power BI,Bachelor,,,,,,,,,,,,,,,,,
42539,job_98d3286992b13155,Data Analyst,Data Analyst,Junior,Remote,University of Texas at Dallas,Texas,43376,60000,60000,60000,Master,R,Master,Bachelor,,,,,,,,,,,,,,,,,,,
42553,job_4ea74ddfee6a7d36,Data Science Analyst,Data Scientist,Junior,On_Site,"Information Resources, Inc",Illinois,46247,61000,90000,75500,Not specified,Python,R,SQL,,,,,,,,,,,,,,,,,,,
42556,job_fe8670bf40e0f995,Data Analyst,Data Analyst,Junior,On_Site,Global IT,Montana,49560,55200,55200,55200,Not specified,,,,,,,,,,,,,,,,,,,,,,
42558,job_c5df7e6f16989a5c,Data Analyst,Data Analyst,Junior,Remote,WSRB,Washington,44377,77840,124545,101192.5,Not specified,Excel,Access,,,,,,,,,,,,,,,,,,,,
42559,job_6edf3aeff1b210ff,Data Analyst,Data Analyst,Junior,On_Site,TekwissenGroup,Michigan,45641,90160,93840,92000,Bachelor,Access,Office,SQL,Bachelor,Oracle,,,,,,,,,,,,,,,,,
42565,job_ef3a377cf011b161,Data Analyst,Data Analyst,Junior,On_Site,Iowa Legal Aid,Iowa,44300,36873,59250,48061.5,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
42568,job_b0f7fea1828e162b,Data Analyst,Data Analyst,Junior,Remote,JNR Adjustment Co,Minnesota,46604,36800,42320,39560,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
42570,job_530df7acea3a27b3,Data Analyst,Data Analyst,Junior,Hybrid,Centricity Credit Union,Minnesota,46604,38000,56000,47000,Not specified,Power BI,Office,SQL,,,,,,,,,,,,,,,,,,,
42571,job_700f65ca2a1f7699,Data Analyst,Data Analyst,Junior,On_Site,Vision y Compromiso,California,46181,41400,41400,41400,Not specified,Spanish,English,Office,,,,,,,,,,,,,,,,,,,
42573,job_4a677f54de5ebb9f,Data Analyst,Data Analyst,Junior,Remote,United Way of Southeast Louisiana,Louisiana,42986,65000,65000,65000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
42611,job_9d766b78fb42f4f2,Reference Data Management Associate Analyst - Hybrid,Data Analyst,Junior,Hybrid,Citi,New York,46909,59090,82450,70770,Not specified,Excel,Access,Office,SQL,PowerPoint,,,,,,,,,,,,,,,,,
42622,job_a4f1b11826d680d6,Data Analyst,Data Analyst,Junior,On_Site,Infosoft,Florida,46837,58880,68080,63480,Bachelor,Tableau,Bachelor,,,,,,,,,,,,,,,,,,,,
42624,job_4eae5b524fcb1e64,Data Analyst,Data Analyst,Junior,On_Site,Caltrans - CA Dept. of Transportation,California,46181,69516,87072,78294,Not specified,,,,,,,,,,,,,,,,,,,,,,
42639,job_70849380467d52f3,Data Analyst,Data Analyst,Junior,Remote,HTLF,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42640,job_ca9014087050f6d1,Data Analyst,Data Analyst,Junior,On_Site,FirstBank & Trust,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42641,job_adad3cf88c64166b,Data Analyst,Data Analyst,Junior,On_Site,Rocky Mountain Bank,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42642,job_9d61383ec32be4c4,Data Analyst,Data Analyst,Junior,On_Site,New Mexico Bank & Trust,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42643,job_2db6cc3e178740d8,Data Analyst,Data Analyst,Junior,On_Site,Illinois Bank & Trust,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42644,job_c2c3a9bf82e7e02a,Data Analyst,Data Analyst,Junior,On_Site,Minnesota Bank & Trust,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42645,job_0a277f35b433af40,Data Analyst,Data Analyst,Junior,On_Site,Bank of Blue Valley,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42646,job_d8c41553d6cd7173,Data Analyst,Data Analyst,Junior,On_Site,Wisconsin Bank & Trust,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42647,job_922b258db8e46db5,Data Analyst,Data Analyst,Junior,On_Site,Premier Valley Bank,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42648,job_6655f3f3cdbd4915,Data Analyst,Data Analyst,Junior,On_Site,Dubuque Bank & Trust,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
42649,job_0970a86a1c3b917b,Data Analyst,Data Analyst,Junior,On_Site,Citywide Banks,Iowa,44300,62759,81587,72173,Bachelor,Office,SQL,Power BI,Bachelor,PowerPoint,Python,Cognos,,,,,,,,,,,,,,,
